number,opened_at,sys_created_at,caller_id,opened_by,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,assigned_to,closed_code,resolved_by,resolved_at,closed_at,resolution_hours,closure_hours,resolution_days,closure_days,opened_date,opened_year,opened_month,opened_month_name,opened_day_name,sla_status,was_reopened,high_reassignment
INC0000076,2016-02-29 08:25:00,2016-02-29 08:29:00,Caller 2949,Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 23,True,False,Do Not Notify,,,,,Closed,False,0,0,2,True,,code 5,Resolved by 62,2016-02-29 16:27:00,2016-03-05 17:00:00,8.033333333333333,128.58333333333334,0.3347222222222222,5.357638888888889,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000077,2016-02-29 08:27:00,,Caller 3304,Opened by  180,Phone,Location 108,Category 32,Subcategory 9,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,0,0,5,True,,code 6,Resolved by 85,2016-02-29 09:04:00,2016-03-05 10:00:00,0.6166666666666667,121.55,0.025694444444444447,5.064583333333333,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000079,2016-02-29 08:32:00,,Caller 2471,Opened by  180,Phone,Location 204,Category 8,Subcategory 291,Symptom 530,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,4,True,Resolver 180,code 6,Resolved by 163,2016-02-29 11:20:00,2016-03-05 12:00:00,2.8,123.46666666666667,0.11666666666666665,5.144444444444445,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000080,2016-02-29 08:33:00,,Caller 1194,Opened by  24,Phone,Location 229,Category 32,Subcategory 9,Symptom 4,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,0,0,7,True,,code 6,Resolved by 15,2016-03-02 11:40:00,2016-03-07 12:00:00,51.11666666666667,171.45,2.129861111111111,7.14375,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000083,2016-02-29 08:39:00,2016-02-29 08:56:00,Caller 4866,Opened by  131,Phone,Location 93,Category 24,Subcategory 164,Symptom 583,,3 - Low,3 - Low,4 - Low,Group 70,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,1,0,4,True,,code 7,Resolved by 62,2016-02-29 16:05:00,2016-03-05 17:00:00,7.433333333333334,128.35,0.30972222222222223,5.347916666666666,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000084,2016-02-29 08:39:00,,Caller 3038,Opened by  433,Phone,Location 204,Category 45,Subcategory 220,Symptom 253,,3 - Low,3 - Low,4 - Low,Group 66,True,False,Do Not Notify,,CHG0000647,,,Closed,False,0,0,19,False,Resolver 175,code 6,Resolved by 158,2016-04-12 14:46:00,2016-04-17 15:07:00,1038.1166666666666,1158.4666666666667,43.254861111111104,48.269444444444446,2016-02-29,2016,2,February,Monday,Breached SLA,False,False
INC0000085,2016-02-29 08:41:00,2016-02-29 08:47:00,Caller 917,Opened by  180,Phone,Location 161,Category 20,Subcategory 125,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 54,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,0,0,6,True,,code 7,Resolved by 208,2016-03-02 14:44:00,2016-03-07 15:00:00,54.05,174.31666666666666,2.252083333333333,7.263194444444444,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000086,2016-02-29 08:43:00,2016-02-29 08:49:00,Caller 2403,Opened by  24,Phone,Location 93,Category 24,Subcategory 164,Symptom 471,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,1,0,8,True,,code 7,Resolved by 62,2016-03-01 15:45:00,2016-03-06 16:00:00,31.033333333333335,151.28333333333333,1.2930555555555556,6.303472222222222,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000087,2016-02-29 08:47:00,2016-02-29 08:56:00,Caller 950,Opened by  180,Phone,Location 69,Category 53,Subcategory 194,,,2 - Medium,2 - Medium,3 - Moderate,Group 54,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,0,0,3,True,,code 7,Resolved by 208,2016-03-02 14:46:00,2016-03-07 15:00:00,53.983333333333334,174.21666666666667,2.2493055555555554,7.259027777777778,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000088,2016-02-29 08:48:00,,Caller 388,Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 4,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,0,0,2,True,,code 6,Resolved by 85,2016-02-29 09:05:00,2016-03-05 10:00:00,0.2833333333333333,121.2,0.011805555555555555,5.05,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000089,2016-02-29 08:51:00,2016-02-29 09:03:00,Caller 4907,Opened by  180,Phone,Location 108,Category 42,Subcategory 106,Symptom 2,,2 - Medium,3 - Low,4 - Low,Group 68,True,False,Do Not Notify,,,,,Closed,False,3,0,9,True,Resolver 216,code 1,Resolved by 197,2016-03-03 14:35:00,2016-03-08 15:00:00,77.73333333333333,198.15,3.238888888888889,8.25625,2016-02-29,2016,2,February,Monday,Met SLA,False,True
INC0000092,2016-02-29 08:55:00,,Caller 1811,Opened by  40,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 27,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,1,0,6,False,,code 5,Resolved by 99,2016-03-07 08:45:00,2016-03-12 09:00:00,167.83333333333334,288.0833333333333,6.993055555555556,12.003472222222221,2016-02-29,2016,2,February,Monday,Breached SLA,False,False
INC0000093,2016-02-29 08:56:00,,Caller 3545,Opened by  131,Phone,Location 93,Category 61,Subcategory 164,Symptom 580,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,0,0,1,True,,code 7,Resolved by 66,,2016-03-05 10:00:00,,121.06666666666666,,5.044444444444444,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000094,2016-02-29 08:58:00,,Caller 387,Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,,3 - Low,3 - Low,4 - Low,Group 66,True,False,Do Not Notify,,,,,Closed,False,0,0,10,False,Resolver 193,code 6,Resolved by 184,2016-03-10 10:45:00,2016-03-24 18:50:00,241.78333333333333,585.8666666666667,10.074305555555556,24.41111111111111,2016-02-29,2016,2,February,Monday,Breached SLA,False,False
INC0000098,2016-02-29 09:02:00,2016-02-29 09:08:00,Caller 4043,Opened by  24,Phone,Location 108,Category 20,Subcategory 125,Symptom 471,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,1,0,5,True,,code 7,Resolved by 208,2016-03-02 14:51:00,2016-03-07 15:00:00,53.81666666666667,173.96666666666667,2.2423611111111112,7.248611111111111,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000099,2016-02-29 09:03:00,2016-02-29 09:06:00,Caller 5410,Opened by  180,Phone,Location 51,Category 24,Subcategory 164,Symptom 529,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,3,True,Resolver 201,code 8,Resolved by 183,2016-03-01 09:05:00,2016-03-06 10:00:00,24.033333333333335,144.95,1.0013888888888889,6.039583333333333,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000100,2016-02-29 09:05:00,2016-02-29 09:11:00,Caller 3082,Opened by  40,Phone,Location 161,Category 53,Subcategory 271,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 54,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,0,0,3,True,,code 7,Resolved by 208,2016-03-02 14:53:00,2016-03-07 15:00:00,53.8,173.91666666666666,2.2416666666666667,7.246527777777778,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000101,2016-02-29 09:05:00,2016-02-29 09:13:00,Caller 1892,Opened by  180,Phone,Location 143,Category 42,Subcategory 224,Symptom 560,,2 - Medium,3 - Low,4 - Low,Group 65,True,False,Do Not Notify,,,,,Closed,False,0,0,6,True,Resolver 180,code 6,Resolved by 163,2016-02-29 11:00:00,2016-03-05 12:00:00,1.9166666666666667,122.91666666666667,0.07986111111111112,5.121527777777778,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000102,2016-02-29 09:06:00,2016-02-29 09:13:00,Caller 307,Opened by  131,Phone,Location 46,Category 37,Subcategory 135,Symptom 87,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,4,1,19,False,Resolver 31,code 4,Resolved by 30,2016-03-17 16:28:00,2016-03-24 18:59:00,415.3666666666667,585.8833333333333,17.306944444444444,24.411805555555556,2016-02-29,2016,2,February,Monday,Breached SLA,True,True
INC0000103,2016-02-29 09:07:00,2016-02-29 09:10:00,Caller 4375,Opened by  180,Phone,Location 108,Category 53,Subcategory 194,,,2 - Medium,2 - Medium,3 - Moderate,Group 54,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,0,0,3,True,,code 7,Resolved by 208,2016-03-02 14:54:00,2016-03-07 15:00:00,53.78333333333333,173.88333333333333,2.240972222222222,7.245138888888889,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000104,2016-02-29 09:08:00,2016-02-29 09:17:00,Caller 5180,Opened by  180,Phone,Location 51,Category 26,Subcategory 175,Symptom 311,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,6,False,Resolver 201,code 6,Resolved by 183,2016-03-01 11:55:00,2016-03-06 12:00:00,26.783333333333335,146.86666666666667,1.1159722222222224,6.1194444444444445,2016-02-29,2016,2,February,Monday,Breached SLA,False,False
INC0000105,2016-02-29 09:10:00,2016-02-29 09:13:00,Caller 2949,Opened by  180,Phone,Location 93,Category 45,Subcategory 223,,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,7,True,,code 9,Resolved by 77,2016-02-29 11:58:00,2016-03-05 12:00:00,2.8,122.83333333333333,0.11666666666666665,5.118055555555555,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000110,2016-02-29 09:13:00,2016-02-29 09:19:00,Caller 5540,Opened by  40,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 54,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,0,0,3,True,,code 7,Resolved by 208,2016-03-02 14:55:00,2016-03-07 15:00:00,53.7,173.78333333333333,2.2375000000000003,7.240972222222222,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000111,2016-02-29 09:14:00,2016-02-29 09:19:00,Caller 4325,Opened by  180,Phone,Location 93,Category 53,Subcategory 130,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 54,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,0,0,3,True,,code 7,Resolved by 208,2016-03-02 14:56:00,2016-03-07 15:00:00,53.7,173.76666666666668,2.2375000000000003,7.240277777777778,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000112,2016-02-29 09:15:00,2016-02-29 09:18:00,Caller 521,Opened by  131,Phone,Location 93,Category 37,Subcategory 135,Symptom 87,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,2,0,5,True,Resolver 215,code 7,Resolved by 196,2016-03-02 15:13:00,2016-03-07 16:00:00,53.96666666666667,174.75,2.2486111111111113,7.28125,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000113,2016-02-29 09:18:00,2016-02-29 09:19:00,Caller 1658,Opened by  24,Phone,Location 204,Category 55,Subcategory 23,,,2 - Medium,2 - Medium,3 - Moderate,Group 25,True,False,Do Not Notify,,,,,Closed,False,0,0,4,True,Resolver 227,code 6,Resolved by 206,2016-03-02 19:30:00,2016-03-07 20:00:00,58.2,178.7,2.4250000000000003,7.445833333333333,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000114,2016-02-29 09:18:00,,Caller 4554,Opened by  180,Phone,Location 161,Category 53,Subcategory 194,,,2 - Medium,2 - Medium,3 - Moderate,Group 54,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,1,0,9,True,,code 7,Resolved by 174,2016-03-03 01:18:00,2016-03-08 02:00:00,64.0,184.7,2.6666666666666665,7.695833333333333,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000115,2016-02-29 09:20:00,2016-02-29 09:31:00,Caller 5494,Opened by  131,Phone,Location 161,Category 9,Subcategory 164,Symptom 607,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,2,0,5,True,Resolver 89,code 9,Resolved by 81,2016-03-01 08:50:00,2016-03-06 09:00:00,23.5,143.66666666666666,0.9791666666666666,5.986111111111111,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000116,2016-02-29 09:20:00,2016-02-29 09:23:00,Caller 1488,Opened by  180,Phone,Location 108,Category 37,Subcategory 135,Symptom 529,,2 - Medium,2 - Medium,3 - Moderate,Group 27,True,False,Do Not Notify,,,,,Closed,False,1,0,3,True,,code 6,Resolved by 106,2016-03-01 12:02:00,2016-03-06 13:00:00,26.7,147.66666666666666,1.1125,6.152777777777778,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000119,2016-02-29 09:22:00,2016-02-29 09:31:00,Caller 3842,Opened by  180,Phone,Location 161,Category 9,Subcategory 164,Symptom 471,,2 - Medium,2 - Medium,3 - Moderate,Group 24,True,False,Do Not Notify,,,,,Closed,False,0,0,3,True,Resolver 89,code 9,Resolved by 81,2016-03-01 09:03:00,2016-03-06 10:00:00,23.683333333333334,144.63333333333333,0.9868055555555556,6.026388888888889,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000121,2016-02-29 09:25:00,2016-02-29 09:28:00,Caller 1932,Opened by  40,Phone,Location 93,Category 53,Subcategory 271,Symptom 471,,2 - Medium,2 - Medium,3 - Moderate,Group 23,True,False,Do Not Notify,,,,,Closed,False,0,0,2,True,,code 7,Resolved by 62,2016-02-29 16:31:00,2016-03-05 17:00:00,7.1,127.58333333333333,0.29583333333333334,5.315972222222222,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000122,2016-02-29 09:27:00,2016-02-29 09:34:00,Caller 3113,Opened by  24,Phone,Location 44,Category 45,Subcategory 47,Symptom 159,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,1,0,4,True,,code 3,Resolved by 139,2016-03-01 16:50:00,2016-03-06 17:00:00,31.383333333333333,151.55,1.3076388888888888,6.314583333333334,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000123,2016-02-29 09:29:00,2016-02-29 09:38:00,Caller 4428,Opened by  180,Phone,Location 108,Category 53,Subcategory 194,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 54,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,0,0,3,True,,code 7,Resolved by 208,2016-03-02 14:56:00,2016-03-07 15:00:00,53.45,173.51666666666668,2.2270833333333333,7.229861111111112,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000124,2016-02-29 09:30:00,2016-02-29 09:39:00,Caller 4907,Opened by  40,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 33,True,False,Do Not Notify,,,,,Closed,False,0,0,3,True,Resolver 159,code 7,Resolved by 143,2016-02-29 11:05:00,2016-03-05 12:00:00,1.5833333333333333,122.5,0.06597222222222222,5.104166666666667,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000125,2016-02-29 09:31:00,2016-02-29 09:35:00,Caller 154,Opened by  131,Phone,Location 108,Category 9,Subcategory 164,Symptom 607,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,1,0,6,True,Resolver 170,code 11,Resolved by 153,2016-03-01 08:32:00,2016-03-06 09:00:00,23.016666666666666,143.48333333333332,0.9590277777777777,5.978472222222222,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000126,2016-02-29 09:31:00,2016-02-29 09:42:00,Caller 3754,Opened by  180,Phone,Location 142,Category 53,Subcategory 127,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 54,True,False,Do Not Notify,Problem ID  2,,,,Closed,False,0,0,3,True,,code 7,Resolved by 208,2016-03-02 14:57:00,2016-03-07 15:00:00,53.43333333333333,173.48333333333332,2.2263888888888888,7.228472222222222,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000128,2016-02-29 09:36:00,2016-02-29 09:40:00,Caller 4539,Opened by  131,Phone,Location 36,Category 44,Subcategory 54,Symptom 4,,2 - Medium,2 - Medium,3 - Moderate,Group 12,True,False,Do Not Notify,,,,,Closed,False,2,0,10,False,Resolver 99,code 6,Resolved by 89,2016-03-11 12:15:00,2016-03-24 18:50:00,266.65,585.2333333333333,11.110416666666666,24.384722222222223,2016-02-29,2016,2,February,Monday,Breached SLA,False,False
INC0000129,2016-02-29 09:40:00,2016-02-29 09:48:00,Caller 5340,Opened by  180,Phone,Location 229,Category 23,Subcategory 75,Symptom 4,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,2,0,17,False,Resolver 253,code 6,Resolved by 231,2016-03-22 13:30:00,2016-03-27 13:59:00,531.8333333333334,652.3166666666667,22.159722222222225,27.179861111111112,2016-02-29,2016,2,February,Monday,Breached SLA,False,False
INC0000130,2016-02-29 09:41:00,2016-02-29 07:17:00,Caller 314,Opened by  62,Phone,Location 204,Category 61,Subcategory 164,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 72,True,False,Do Not Notify,,,,,Closed,False,1,0,5,True,Resolver 198,code 6,Resolved by 180,2016-03-03 10:16:00,2016-03-08 11:00:00,72.58333333333333,193.31666666666666,3.0243055555555554,8.05486111111111,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000131,2016-02-29 09:41:00,2016-02-29 07:14:00,Caller 3763,Opened by  433,Phone,Location 15,Category 45,Subcategory 220,Symptom 580,,2 - Medium,2 - Medium,3 - Moderate,Group 66,True,False,Do Not Notify,,,,,Closed,False,0,0,3,True,Resolver 175,code 2,Resolved by 184,2016-03-03 09:27:00,2016-03-08 10:00:00,71.76666666666667,192.31666666666666,2.9902777777777776,8.013194444444444,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000132,2016-02-29 09:42:00,2016-02-29 09:50:00,Caller 3957,Opened by  131,Phone,Location 204,Category 9,Subcategory 164,Symptom 580,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,2,0,5,True,Resolver 135,code 6,Resolved by 121,2016-03-03 15:18:00,2016-03-08 16:00:00,77.6,198.3,3.233333333333333,8.262500000000001,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000134,2016-02-29 09:44:00,2016-02-29 07:46:00,Caller 2471,Opened by  501,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,,3 - Low,3 - Low,4 - Low,Group 72,True,False,Do Not Notify,,,,,Closed,False,1,0,4,True,Resolver 198,code 8,Resolved by 180,2016-03-03 08:21:00,2016-03-08 09:00:00,70.61666666666666,191.26666666666668,2.942361111111111,7.969444444444445,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000135,2016-02-29 09:45:00,2016-02-29 07:46:00,Caller 5331,Opened by  40,Phone,Location 204,Category 53,Subcategory 271,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,0,0,7,True,Resolver 216,code 9,Resolved by 32,2016-02-29 16:17:00,2016-03-05 17:00:00,6.533333333333333,127.25,0.2722222222222222,5.302083333333333,2016-02-29,2016,2,February,Monday,Met SLA,False,False
INC0000137,2016-02-29 09:48:00,2016-02-29 08:18:00,Caller 899,Opened by  24,Phone,Location 51,Category 32,Subcategory 9,Symptom 470,,2 - Medium,2 - Medium,3 - Moderate,Group 70,True,False,Do Not Notify,,,,,Closed,False,0,0,3,True,,code 6,Resolved by 15,2016-02-29 11:03:00,2016-03-05 12:00:00,1.25,122.2,0.052083333333333336,5.091666666666667,2016-02-29,2016,2,February,Monday,Met SLA,False,False
