number,incident_state,active,contact_type,category,subcategory,u_symptom,impact,urgency,priority,assignment_group,assigned_to,location,caller_id,reassignment_count,reopen_count,sys_mod_count,made_sla,sla_status,resolved_by,resolved_at,closed_code,closed_at,opened_at,resolution_hours,resolution_days,closure_hours,closure_days,was_reopened,high_reassignment,opened_date,opened_year,opened_month,opened_month_name,opened_day_name,priority_level,priority_label,impact_level,urgency_level,opened_month_year,sla_breached,reopened_flag,high_reassignment_flag,resolution_bucket
INC0000070,Closed,False,Phone,Category 9,Subcategory 164,Symptom 592,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 31,Location 46,Caller 3757,1,0,9,False,Breached SLA,Resolved by 30,2016-03-08 09:55:00,code 11,2016-03-24 18:40:00,2016-02-29 08:11:00,193.7333333333333,8.072222222222221,586.4833333333333,24.436805555555555,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,1,0,0,7-30 Days
INC0000071,Closed,False,Phone,Category 9,Subcategory 164,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,Location 161,Caller 271,0,0,7,True,Met SLA,Resolved by 227,2016-03-01 10:38:00,code 5,2016-03-06 11:00:00,2016-02-29 08:12:00,26.433333333333334,1.101388888888889,146.8,6.116666666666667,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000073,Closed,False,Phone,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 42,Caller 2519,1,0,6,True,Met SLA,Resolved by 208,2016-03-01 15:37:00,code 11,2016-03-06 16:00:00,2016-02-29 08:22:00,31.25,1.3020833333333333,151.63333333333333,6.318055555555556,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000074,Closed,False,Phone,Category 45,Subcategory 220,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 193,Location 204,Caller 527,0,0,19,False,Breached SLA,Resolved by 158,2016-04-11 14:39:00,code 6,2016-04-16 15:07:00,2016-02-29 08:23:00,1014.2666666666668,42.26111111111111,1134.7333333333331,47.28055555555556,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,1,0,0,30+ Days
INC0000076,Closed,False,Phone,Category 42,Subcategory 224,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 23,Unknown,Location 93,Caller 2949,0,0,2,True,Met SLA,Resolved by 62,2016-02-29 16:27:00,code 5,2016-03-05 17:00:00,2016-02-29 08:25:00,8.033333333333333,0.3347222222222222,128.58333333333334,5.357638888888889,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,4-24 Hours
INC0000077,Closed,False,Phone,Category 32,Subcategory 9,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 108,Caller 3304,0,0,5,True,Met SLA,Resolved by 85,2016-02-29 09:04:00,code 6,2016-03-05 10:00:00,2016-02-29 08:27:00,0.6166666666666667,0.0256944444444444,121.55,5.064583333333333,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,0-4 Hours
INC0000079,Closed,False,Phone,Category 8,Subcategory 291,Symptom 530,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 180,Location 204,Caller 2471,1,0,4,True,Met SLA,Resolved by 163,2016-02-29 11:20:00,code 6,2016-03-05 12:00:00,2016-02-29 08:32:00,2.8,0.1166666666666666,123.46666666666668,5.144444444444445,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,0-4 Hours
INC0000080,Closed,False,Phone,Category 32,Subcategory 9,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 229,Caller 1194,0,0,7,True,Met SLA,Resolved by 15,2016-03-02 11:40:00,code 6,2016-03-07 12:00:00,2016-02-29 08:33:00,51.11666666666667,2.129861111111111,171.45,7.14375,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000083,Closed,False,Phone,Category 24,Subcategory 164,Symptom 583,3 - Low,3 - Low,4 - Low,Group 70,Unknown,Location 93,Caller 4866,1,0,4,True,Met SLA,Resolved by 62,2016-02-29 16:05:00,code 7,2016-03-05 17:00:00,2016-02-29 08:39:00,7.433333333333334,0.3097222222222222,128.35,5.347916666666666,False,False,2016-02-29,2016,2,February,Monday,4,Low,3,3,2016-02,0,0,0,4-24 Hours
INC0000084,Closed,False,Phone,Category 45,Subcategory 220,Symptom 253,3 - Low,3 - Low,4 - Low,Group 66,Resolver 175,Location 204,Caller 3038,0,0,19,False,Breached SLA,Resolved by 158,2016-04-12 14:46:00,code 6,2016-04-17 15:07:00,2016-02-29 08:39:00,1038.1166666666666,43.254861111111104,1158.4666666666667,48.269444444444446,False,False,2016-02-29,2016,2,February,Monday,4,Low,3,3,2016-02,1,0,0,30+ Days
INC0000085,Closed,False,Phone,Category 20,Subcategory 125,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 54,Unknown,Location 161,Caller 917,0,0,6,True,Met SLA,Resolved by 208,2016-03-02 14:44:00,code 7,2016-03-07 15:00:00,2016-02-29 08:41:00,54.05,2.252083333333333,174.31666666666666,7.263194444444444,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000086,Closed,False,Phone,Category 24,Subcategory 164,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 93,Caller 2403,1,0,8,True,Met SLA,Resolved by 62,2016-03-01 15:45:00,code 7,2016-03-06 16:00:00,2016-02-29 08:43:00,31.03333333333333,1.2930555555555556,151.28333333333333,6.303472222222222,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000087,Closed,False,Phone,Category 53,Subcategory 194,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 54,Unknown,Location 69,Caller 950,0,0,3,True,Met SLA,Resolved by 208,2016-03-02 14:46:00,code 7,2016-03-07 15:00:00,2016-02-29 08:47:00,53.98333333333333,2.2493055555555554,174.21666666666667,7.259027777777778,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000088,Closed,False,Phone,Category 42,Subcategory 224,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 93,Caller 388,0,0,2,True,Met SLA,Resolved by 85,2016-02-29 09:05:00,code 6,2016-03-05 10:00:00,2016-02-29 08:48:00,0.2833333333333333,0.0118055555555555,121.2,5.05,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,0-4 Hours
INC0000089,Closed,False,Phone,Category 42,Subcategory 106,Symptom 2,2 - Medium,3 - Low,4 - Low,Group 68,Resolver 216,Location 108,Caller 4907,3,0,9,True,Met SLA,Resolved by 197,2016-03-03 14:35:00,code 1,2016-03-08 15:00:00,2016-02-29 08:51:00,77.73333333333333,3.238888888888889,198.15,8.25625,False,True,2016-02-29,2016,2,February,Monday,4,Low,2,3,2016-02,0,0,1,3-7 Days
INC0000092,Closed,False,Phone,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 27,Unknown,Location 172,Caller 1811,1,0,6,False,Breached SLA,Resolved by 99,2016-03-07 08:45:00,code 5,2016-03-12 09:00:00,2016-02-29 08:55:00,167.83333333333334,6.993055555555556,288.0833333333333,12.00347222222222,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,1,0,0,3-7 Days
INC0000093,Closed,False,Phone,Category 61,Subcategory 164,Symptom 580,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 93,Caller 3545,0,0,1,True,Met SLA,Resolved by 66,,code 7,2016-03-05 10:00:00,2016-02-29 08:56:00,,,121.06666666666666,5.044444444444444,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,Not Resolved
INC0000094,Closed,False,Phone,Category 45,Subcategory 220,Unknown,3 - Low,3 - Low,4 - Low,Group 66,Resolver 193,Location 204,Caller 387,0,0,10,False,Breached SLA,Resolved by 184,2016-03-10 10:45:00,code 6,2016-03-24 18:50:00,2016-02-29 08:58:00,241.78333333333333,10.074305555555556,585.8666666666667,24.41111111111111,False,False,2016-02-29,2016,2,February,Monday,4,Low,3,3,2016-02,1,0,0,7-30 Days
INC0000098,Closed,False,Phone,Category 20,Subcategory 125,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 108,Caller 4043,1,0,5,True,Met SLA,Resolved by 208,2016-03-02 14:51:00,code 7,2016-03-07 15:00:00,2016-02-29 09:02:00,53.81666666666667,2.2423611111111112,173.96666666666667,7.248611111111111,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000099,Closed,False,Phone,Category 24,Subcategory 164,Symptom 529,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 201,Location 51,Caller 5410,1,0,3,True,Met SLA,Resolved by 183,2016-03-01 09:05:00,code 8,2016-03-06 10:00:00,2016-02-29 09:03:00,24.03333333333333,1.0013888888888889,144.95,6.039583333333333,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000100,Closed,False,Phone,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 54,Unknown,Location 161,Caller 3082,0,0,3,True,Met SLA,Resolved by 208,2016-03-02 14:53:00,code 7,2016-03-07 15:00:00,2016-02-29 09:05:00,53.8,2.2416666666666667,173.91666666666666,7.246527777777778,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000101,Closed,False,Phone,Category 42,Subcategory 224,Symptom 560,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,Location 143,Caller 1892,0,0,6,True,Met SLA,Resolved by 163,2016-02-29 11:00:00,code 6,2016-03-05 12:00:00,2016-02-29 09:05:00,1.9166666666666667,0.0798611111111111,122.91666666666669,5.121527777777778,False,False,2016-02-29,2016,2,February,Monday,4,Low,2,3,2016-02,0,0,0,0-4 Hours
INC0000102,Closed,False,Phone,Category 37,Subcategory 135,Symptom 87,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 31,Location 46,Caller 307,4,1,19,False,Breached SLA,Resolved by 30,2016-03-17 16:28:00,code 4,2016-03-24 18:59:00,2016-02-29 09:06:00,415.3666666666667,17.306944444444444,585.8833333333333,24.41180555555556,True,True,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,1,1,1,7-30 Days
INC0000103,Closed,False,Phone,Category 53,Subcategory 194,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 54,Unknown,Location 108,Caller 4375,0,0,3,True,Met SLA,Resolved by 208,2016-03-02 14:54:00,code 7,2016-03-07 15:00:00,2016-02-29 09:07:00,53.78333333333333,2.240972222222222,173.88333333333333,7.245138888888889,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000104,Closed,False,Phone,Category 26,Subcategory 175,Symptom 311,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 201,Location 51,Caller 5180,1,0,6,False,Breached SLA,Resolved by 183,2016-03-01 11:55:00,code 6,2016-03-06 12:00:00,2016-02-29 09:08:00,26.78333333333333,1.1159722222222224,146.86666666666667,6.1194444444444445,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,1,0,0,1-3 Days
INC0000105,Closed,False,Phone,Category 45,Subcategory 223,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 93,Caller 2949,1,0,7,True,Met SLA,Resolved by 77,2016-02-29 11:58:00,code 9,2016-03-05 12:00:00,2016-02-29 09:10:00,2.8,0.1166666666666666,122.83333333333331,5.118055555555555,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,0-4 Hours
INC0000110,Closed,False,Phone,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 54,Unknown,Location 108,Caller 5540,0,0,3,True,Met SLA,Resolved by 208,2016-03-02 14:55:00,code 7,2016-03-07 15:00:00,2016-02-29 09:13:00,53.7,2.2375000000000003,173.78333333333333,7.240972222222222,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000111,Closed,False,Phone,Category 53,Subcategory 130,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 54,Unknown,Location 93,Caller 4325,0,0,3,True,Met SLA,Resolved by 208,2016-03-02 14:56:00,code 7,2016-03-07 15:00:00,2016-02-29 09:14:00,53.7,2.2375000000000003,173.76666666666668,7.240277777777778,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000112,Closed,False,Phone,Category 37,Subcategory 135,Symptom 87,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 215,Location 93,Caller 521,2,0,5,True,Met SLA,Resolved by 196,2016-03-02 15:13:00,code 7,2016-03-07 16:00:00,2016-02-29 09:15:00,53.96666666666667,2.248611111111112,174.75,7.28125,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000113,Closed,False,Phone,Category 55,Subcategory 23,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 227,Location 204,Caller 1658,0,0,4,True,Met SLA,Resolved by 206,2016-03-02 19:30:00,code 6,2016-03-07 20:00:00,2016-02-29 09:18:00,58.2,2.4250000000000003,178.7,7.445833333333333,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000114,Closed,False,Phone,Category 53,Subcategory 194,Unknown,2 - Medium,2 - Medium,3 - Moderate,Group 54,Unknown,Location 161,Caller 4554,1,0,9,True,Met SLA,Resolved by 174,2016-03-03 01:18:00,code 7,2016-03-08 02:00:00,2016-02-29 09:18:00,64.0,2.6666666666666665,184.7,7.695833333333333,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000115,Closed,False,Phone,Category 9,Subcategory 164,Symptom 607,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 89,Location 161,Caller 5494,2,0,5,True,Met SLA,Resolved by 81,2016-03-01 08:50:00,code 9,2016-03-06 09:00:00,2016-02-29 09:20:00,23.5,0.9791666666666666,143.66666666666666,5.986111111111111,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,4-24 Hours
INC0000116,Closed,False,Phone,Category 37,Subcategory 135,Symptom 529,2 - Medium,2 - Medium,3 - Moderate,Group 27,Unknown,Location 108,Caller 1488,1,0,3,True,Met SLA,Resolved by 106,2016-03-01 12:02:00,code 6,2016-03-06 13:00:00,2016-02-29 09:20:00,26.7,1.1125,147.66666666666666,6.152777777777778,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000119,Closed,False,Phone,Category 9,Subcategory 164,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,Location 161,Caller 3842,0,0,3,True,Met SLA,Resolved by 81,2016-03-01 09:03:00,code 9,2016-03-06 10:00:00,2016-02-29 09:22:00,23.683333333333334,0.9868055555555556,144.63333333333333,6.026388888888889,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,4-24 Hours
INC0000121,Closed,False,Phone,Category 53,Subcategory 271,Symptom 471,2 - Medium,2 - Medium,3 - Moderate,Group 23,Unknown,Location 93,Caller 1932,0,0,2,True,Met SLA,Resolved by 62,2016-02-29 16:31:00,code 7,2016-03-05 17:00:00,2016-02-29 09:25:00,7.1,0.2958333333333333,127.58333333333331,5.315972222222222,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,4-24 Hours
INC0000122,Closed,False,Phone,Category 45,Subcategory 47,Symptom 159,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 44,Caller 3113,1,0,4,True,Met SLA,Resolved by 139,2016-03-01 16:50:00,code 3,2016-03-06 17:00:00,2016-02-29 09:27:00,31.383333333333333,1.3076388888888888,151.55,6.314583333333334,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000123,Closed,False,Phone,Category 53,Subcategory 194,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 54,Unknown,Location 108,Caller 4428,0,0,3,True,Met SLA,Resolved by 208,2016-03-02 14:56:00,code 7,2016-03-07 15:00:00,2016-02-29 09:29:00,53.45,2.2270833333333333,173.51666666666668,7.229861111111112,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000124,Closed,False,Phone,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 159,Location 108,Caller 4907,0,0,3,True,Met SLA,Resolved by 143,2016-02-29 11:05:00,code 7,2016-03-05 12:00:00,2016-02-29 09:30:00,1.5833333333333333,0.0659722222222222,122.5,5.104166666666667,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,0-4 Hours
INC0000125,Closed,False,Phone,Category 9,Subcategory 164,Symptom 607,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 170,Location 108,Caller 154,1,0,6,True,Met SLA,Resolved by 153,2016-03-01 08:32:00,code 11,2016-03-06 09:00:00,2016-02-29 09:31:00,23.016666666666666,0.9590277777777776,143.48333333333332,5.978472222222222,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,4-24 Hours
INC0000126,Closed,False,Phone,Category 53,Subcategory 127,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 54,Unknown,Location 142,Caller 3754,0,0,3,True,Met SLA,Resolved by 208,2016-03-02 14:57:00,code 7,2016-03-07 15:00:00,2016-02-29 09:31:00,53.43333333333333,2.2263888888888888,173.48333333333332,7.228472222222222,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000128,Closed,False,Phone,Category 44,Subcategory 54,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 12,Resolver 99,Location 36,Caller 4539,2,0,10,False,Breached SLA,Resolved by 89,2016-03-11 12:15:00,code 6,2016-03-24 18:50:00,2016-02-29 09:36:00,266.65,11.110416666666666,585.2333333333333,24.384722222222223,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,1,0,0,7-30 Days
INC0000129,Closed,False,Phone,Category 23,Subcategory 75,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 253,Location 229,Caller 5340,2,0,17,False,Breached SLA,Resolved by 231,2016-03-22 13:30:00,code 6,2016-03-27 13:59:00,2016-02-29 09:40:00,531.8333333333334,22.159722222222225,652.3166666666667,27.179861111111112,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,1,0,0,7-30 Days
INC0000130,Closed,False,Phone,Category 61,Subcategory 164,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 72,Resolver 198,Location 204,Caller 314,1,0,5,True,Met SLA,Resolved by 180,2016-03-03 10:16:00,code 6,2016-03-08 11:00:00,2016-02-29 09:41:00,72.58333333333333,3.024305555555556,193.31666666666663,8.05486111111111,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,3-7 Days
INC0000131,Closed,False,Phone,Category 45,Subcategory 220,Symptom 580,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 175,Location 15,Caller 3763,0,0,3,True,Met SLA,Resolved by 184,2016-03-03 09:27:00,code 2,2016-03-08 10:00:00,2016-02-29 09:41:00,71.76666666666667,2.9902777777777776,192.31666666666663,8.013194444444444,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
INC0000132,Closed,False,Phone,Category 9,Subcategory 164,Symptom 580,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 135,Location 204,Caller 3957,2,0,5,True,Met SLA,Resolved by 121,2016-03-03 15:18:00,code 6,2016-03-08 16:00:00,2016-02-29 09:42:00,77.6,3.233333333333333,198.3,8.262500000000001,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,3-7 Days
INC0000134,Closed,False,Phone,Category 62,Subcategory 192,Symptom 580,3 - Low,3 - Low,4 - Low,Group 72,Resolver 198,Location 204,Caller 2471,1,0,4,True,Met SLA,Resolved by 180,2016-03-03 08:21:00,code 8,2016-03-08 09:00:00,2016-02-29 09:44:00,70.61666666666666,2.942361111111111,191.26666666666668,7.969444444444445,False,False,2016-02-29,2016,2,February,Monday,4,Low,3,3,2016-02,0,0,0,1-3 Days
INC0000135,Closed,False,Phone,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 216,Location 204,Caller 5331,0,0,7,True,Met SLA,Resolved by 32,2016-02-29 16:17:00,code 9,2016-03-05 17:00:00,2016-02-29 09:45:00,6.533333333333333,0.2722222222222222,127.25,5.302083333333333,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,4-24 Hours
INC0000137,Closed,False,Phone,Category 32,Subcategory 9,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 51,Caller 899,0,0,3,True,Met SLA,Resolved by 15,2016-02-29 11:03:00,code 6,2016-03-05 12:00:00,2016-02-29 09:48:00,1.25,0.0520833333333333,122.2,5.091666666666667,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,0-4 Hours
INC0000139,Closed,False,Phone,Category 53,Subcategory 303,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,Unknown,Location 204,Caller 3284,1,0,6,True,Met SLA,Resolved by 208,2016-03-01 09:56:00,code 6,2016-03-06 10:00:00,2016-02-29 09:50:00,24.1,1.0041666666666669,144.16666666666666,6.006944444444444,False,False,2016-02-29,2016,2,February,Monday,3,Moderate,2,2,2016-02,0,0,0,1-3 Days
